game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,ts_pct
401641541,2024-03-22,North Carolina A&T Aggies,200.0,14,44,13,33,1,11,27,40,56,26,9,12,4,4,10,16,14,56,51,home,1,UNC Greensboro Spartans,1,56,51,UNC Greensboro Spartans,200.0,20,51,18,38,2,13,9,18,51,32,12,17,2,6,12,20,25,63.6,63.92,63.760000000000005,87.8293601003764,79.98745294855708,0.32954545454545453,0.45454545454545453
401641533,2024-03-24,North Carolina A&T Aggies,200.0,18,51,16,39,2,12,10,15,48,34,12,22,15,1,9,25,14,48,45,home,1,Old Dominion Monarchs,1,48,45,Old Dominion Monarchs,200.0,17,53,12,34,5,19,6,12,45,30,13,22,13,3,7,23,21,70.6,73.28,71.94,66.72226855713095,62.55212677231026,0.37254901960784315,0.41666666666666663
401641580,2024-03-29,North Carolina A&T Aggies,200.0,30,75,27,53,3,22,12,16,75,39,20,12,6,1,14,25,12,75,89,home,0,Troy Trojans,1,75,89,Troy Trojans,200.0,35,72,28,56,7,16,12,19,89,41,25,11,9,3,13,28,14,80.04,78.36,79.2,94.69696969696969,112.37373737373737,0.42,0.4570941004388103
401711568,2024-11-04,North Carolina A&T Aggies,200.0,22,59,15,38,7,21,13,16,64,27,11,9,3,3,11,16,14,64,77,away,0,SMU Mustangs,1,64,77,SMU Mustangs,200.0,33,70,30,50,3,20,8,12,77,40,16,9,6,3,16,24,17,64.04,68.28,66.16,96.73518742442565,116.38452237001209,0.4322033898305085,0.48455481526347666
401714153,2024-11-08,North Carolina A&T Aggies,200.0,20,55,17,41,3,14,17,23,60,37,12,15,4,4,9,28,17,60,61,away,0,Rice Owls,1,60,61,Rice Owls,200.0,23,61,19,40,4,21,11,17,61,35,17,10,9,6,8,27,19,71.12,70.48,70.80000000000001,84.74576271186439,86.15819209039547,0.39090909090909093,0.46068796068796064
401711553,2024-11-13,North Carolina A&T Aggies,200.0,17,50,15,40,2,10,11,15,47,30,9,19,4,2,7,23,9,47,66,home,0,North Carolina Tar Heels,1,47,66,North Carolina Tar Heels,200.0,24,59,14,28,10,31,8,11,66,29,15,10,15,5,6,23,15,68.6,67.84,68.22,68.89475227206098,96.74582233948989,0.36,0.41519434628975266
401716262,2024-11-17,North Carolina A&T Aggies,200.0,14,56,13,41,1,15,9,12,38,37,4,13,8,4,13,24,18,38,46,away,0,Mercer Bears,1,38,46,Mercer Bears,200.0,15,41,15,35,0,6,16,20,46,24,8,12,9,3,2,22,9,61.28,59.8,60.54,62.76841757515692,75.98282127518996,0.25892857142857145,0.3100522193211488
401716259,2024-11-22,North Carolina A&T Aggies,200.0,28,68,22,46,6,22,6,16,68,46,17,26,19,6,23,23,13,68,42,home,1,Winston-Salem Rams,1,68,42,Winston-Salem Rams,200.0,14,48,13,40,1,8,13,16,42,27,7,28,16,1,6,21,14,78.04,77.04,77.54,87.69667268506576,54.165591952540616,0.45588235294117646,0.453091684434968
401716260,2024-11-26,North Carolina A&T Aggies,200.0,24,67,21,50,3,17,11,15,62,46,18,14,9,7,17,29,12,62,39,home,1,North Carolina Central Eagles,1,62,39,North Carolina Central Eagles,200.0,14,55,10,39,4,16,7,14,39,32,5,17,6,3,11,21,20,70.6,67.16,68.88,90.01161440185831,56.62020905923345,0.3805970149253731,0.4211956521739131
401716263,2024-12-07,North Carolina A&T Aggies,200.0,17,50,14,36,3,14,14,20,51,32,9,17,8,0,9,23,14,51,56,away,0,Liberty Flames,1,51,56,Liberty Flames,200.0,22,58,17,35,5,23,7,12,56,36,7,12,7,2,11,25,13,66.8,64.28,65.53999999999999,77.8150747635032,85.44400366188589,0.37,0.43367346938775514
401716257,2024-12-15,North Carolina A&T Aggies,200.0,17,48,12,30,5,18,20,29,59,29,15,25,7,3,14,15,16,59,68,home,0,Norfolk State Spartans,1,59,68,Norfolk State Spartans,200.0,26,53,21,37,5,16,11,14,68,27,13,24,17,5,10,17,23,71.76,73.16,72.46000000000001,81.42423406017112,93.84487993375654,0.40625,0.48551678736010534
401716258,2024-12-20,North Carolina A&T Aggies,200.0,15,46,13,35,2,11,16,19,48,25,7,17,1,2,7,18,16,48,79,away,0,Florida Gulf Coast Eagles,1,48,79,Florida Gulf Coast Eagles,200.0,27,59,18,33,9,26,16,23,79,34,11,9,11,3,11,23,16,64.36,67.12,65.74000000000001,73.01490721022208,120.17036811682385,0.34782608695652173,0.44150110375275936
401716256,2024-12-21,North Carolina A&T Aggies,200.0,25,62,21,48,4,14,8,15,62,37,16,15,7,3,15,22,13,62,53,home,1,IU Indianapolis Jaguars,1,62,53,IU Indianapolis Jaguars,200.0,20,52,15,33,5,19,8,14,53,29,9,16,6,4,8,21,16,68.6,66.16,67.38,92.01543484713565,78.6583555951321,0.43548387096774194,0.45189504373177847
401716261,2024-12-31,North Carolina A&T Aggies,200.0,38,75,32,55,6,20,18,25,100,43,28,14,16,6,19,24,10,100,42,home,1,Mount Olive Trojans,1,100,42,Mount Olive Trojans,200.0,17,48,15,38,2,10,6,10,42,20,8,29,10,3,2,18,20,81.0,79.4,80.2,124.68827930174564,52.36907730673317,0.5466666666666666,0.5813953488372093
401720624,2025-01-04,North Carolina A&T Aggies,200.0,21,52,17,36,4,16,11,15,57,41,14,18,5,7,7,34,13,57,40,home,1,Elon Phoenix,1,57,40,Elon Phoenix,200.0,17,61,14,43,3,18,3,10,40,33,8,18,12,2,10,23,18,69.6,73.4,71.5,79.72027972027972,55.94405594405595,0.4423076923076923,0.48634812286689416
401724162,2025-01-05,North Carolina A&T Aggies,200.0,29,56,21,37,8,19,9,14,75,39,19,17,7,5,10,29,16,75,48,away,1,Hampton Lady Pirates,1,75,48,Hampton Lady Pirates,200.0,18,55,14,36,4,19,8,15,48,20,8,11,10,2,6,14,16,69.16,66.6,67.88,110.489098408957,70.71302298173248,0.5892857142857143,0.6032818532818534
401724144,2025-01-10,North Carolina A&T Aggies,200.0,26,61,24,47,2,14,11,27,65,37,9,9,8,4,14,23,17,65,49,away,1,Delaware Blue Hens,1,65,49,Delaware Blue Hens,200.0,16,42,14,28,2,14,15,20,49,22,4,16,3,3,1,21,25,67.88,65.8,66.84,97.24715739078395,73.30939557151406,0.4426229508196721,0.4459385290889133
401724177,2025-01-12,North Carolina A&T Aggies,200.0,22,60,15,35,7,25,10,17,61,29,11,14,6,1,11,18,13,61,59,away,1,Towson Tigers,1,61,59,Towson Tigers,200.0,22,57,17,42,5,15,10,13,59,38,11,19,6,2,11,27,18,70.48,70.72,70.6,86.40226628895185,83.56940509915015,0.425,0.451985773562537
401724149,2025-01-18,North Carolina A&T Aggies,200.0,23,51,18,34,5,17,13,18,64,30,11,12,6,1,11,19,10,64,57,home,1,Drexel Dragons,1,64,57,Drexel Dragons,200.0,23,56,16,27,7,29,4,6,57,25,16,11,7,0,10,15,16,59.92,59.64,59.78,107.05921712947475,95.34961525593843,0.5,0.5431093007467753
401724175,2025-01-19,North Carolina A&T Aggies,200.0,29,54,20,37,9,17,12,17,79,32,18,13,12,3,10,22,8,79,46,home,1,Stony Brook Seawolves,1,79,46,Stony Brook Seawolves,200.0,15,47,8,23,7,24,9,11,46,22,11,21,8,1,7,15,15,64.48,65.84,65.16,121.2400245549417,70.59545733578884,0.6203703703703703,0.6424853610930383
