season,game_id,game_date,opponent,home_away,ncat_score,opp_score,win,team,player,player_id,position,starter,min,pts,reb,ast,stl,blk,to,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,pf,team_min,team_fga,team_fta,team_to,team_poss,ortg,drtg,pace,opp_drtg_pregame,opp_ortg_pregame,opp_pace_pregame,torvik_barthag,torvik_adjoe,ts_pct,efg_pct,usg_pct,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,fgm_per40,fga_per40,fg3m_per40,fg3a_per40,ftm_per40,fta_per40,oreb_per40,dreb_per40,low_min_flag,position_enc,ts_pct_r5,ts_pct_season,usg_pct_r5,usg_pct_season,pts_per40_r5,pts_per40_season,reb_per40_r5,reb_per40_season,ast_per40_r5,ast_per40_season,to_per40_season,rim_rate_r5,three_rate_r5,avg_shot_dist_r5,assisted_rate_r5,foul_drawn_rate_r5,on_hot_streak,prev_game_date,days_rest,is_home
2026,401827529,2025-12-10,Howard Bison,away,69,73,0,Howard Bison,A. Cotton,5175065,G,True,37.0,6,5,0,2,1,3,2,6,0,1,2,5,0,0,1,4,3,200.0,54,28,13,70.32,105.09645839331992,99.33774834437087,69.46,100.17465008780741,107.14822230086043,74.76400000000001,,,0.5,0.5,12.26642678987611,6.486486486486487,5.405405405405405,0.0,2.1621621621621623,1.0810810810810811,3.2432432432432434,2.1621621621621623,6.486486486486487,2.1621621621621623,5.405405405405405,0.0,0.0,1.0810810810810811,4.324324324324325,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,0
2024,401600619,2024-01-05,Campbell Fighting Camels,home,76,62,1,Campbell Fighting Camels,A. Dell'Orso,5108141,G,True,34.0,24,10,3,1,1,5,7,17,5,11,2,6,8,8,1,9,2,200.0,53,19,10,66.36,93.79727685325265,114.97730711043874,66.1,91.92965801754767,111.39251706677256,70.432,,,0.5847953216374269,0.47058823529411764,42.07333157478238,28.235294117647058,11.764705882352942,3.5294117647058822,1.1764705882352942,1.1764705882352942,5.882352941176471,8.23529411764706,20.0,2.3529411764705883,7.0588235294117645,9.411764705882353,9.411764705882353,1.1764705882352942,10.588235294117647,0,0.0,,,,,,,,,,,,,,,,,0,,7.0,1
2024,401600761,2024-03-02,Campbell Fighting Camels,away,62,64,0,Campbell Fighting Camels,A. Dell'Orso,5108141,G,True,35.0,14,7,3,1,0,1,6,14,4,10,2,4,0,0,1,6,1,200.0,59,7,6,64.08,100.56568196103079,97.42300439974858,63.64,116.26429144654276,105.57436235282577,75.032,,,0.5,0.5,25.180459963068664,16.0,8.0,3.4285714285714284,1.1428571428571428,0.0,1.1428571428571428,6.857142857142857,16.0,2.2857142857142856,4.571428571428571,0.0,0.0,1.1428571428571428,6.857142857142857,0,0.0,,,,,,,,,,,,,,,,,0,2024-01-05,57.0,0
2026,401827525,2025-11-05,South Carolina Gamecocks,away,72,91,0,North Carolina A&T Aggies,A. Doumbia,5239652,F,True,21.0,7,10,1,1,1,1,3,6,3,5,0,1,1,5,5,5,0,200.0,60,22,11,73.68,96.05122732123799,121.39807897545356,74.96000000000001,112.33695714150959,102.05217140889212,66.632,,,0.426829268292683,0.5,21.72014070873763,13.333333333333332,19.047619047619047,1.9047619047619047,1.9047619047619047,1.9047619047619047,1.9047619047619047,5.7142857142857135,11.428571428571427,0.0,1.9047619047619047,1.9047619047619047,9.523809523809524,9.523809523809524,9.523809523809524,0,1.0,,,,,,,,,,,,,,,,,0,,7.0,0
2026,401827526,2025-11-11,South Carolina State Bulldogs,home,85,62,1,North Carolina A&T Aggies,A. Doumbia,5239652,F,False,6.0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,200.0,62,33,17,79.52,105.69510072121363,77.09524993782642,80.41999999999999,103.76094281144894,93.6199703187725,73.176,,,0.0,0.0,7.1285999429712,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,13.333333333333334,1,1.0,,,,,,,,,,,,,,,,,0,2025-11-05,6.0,1
2026,401827527,2025-11-14,Washington Adventist Shock,home,89,83,1,North Carolina A&T Aggies,A. Doumbia,5239652,F,False,16.0,2,6,0,1,0,1,1,1,1,1,0,0,0,2,3,3,5,200.0,56,54,13,78.76,112.34536733148195,104.77152234284273,79.22,128.19961723011235,74.34657409198178,79.15,,,0.5319148936170213,1.0,7.761966364812419,5.0,15.0,0.0,2.5,0.0,2.5,2.5,2.5,0.0,0.0,0.0,5.0,7.5,7.5,0,1.0,0.2134146341463415,,14.424370325854415,,6.666666666666666,,16.19047619047619,,0.9523809523809523,,,,,,,,0,2025-11-11,3.0,1
2026,401813276,2025-11-19,Morgan State Bears,away,79,73,1,North Carolina A&T Aggies,A. Doumbia,5239652,F,True,22.0,5,6,0,0,2,0,2,3,2,3,0,0,1,2,2,4,2,200.0,50,27,14,68.88,113.37543053960964,104.76463834672789,69.68,107.03108063271411,102.74922329178847,72.81199999999998,,,0.6443298969072165,0.6666666666666666,9.296976086643983,9.09090909090909,10.909090909090908,0.0,0.0,3.6363636363636362,0.0,3.6363636363636362,5.454545454545454,0.0,0.0,1.8181818181818181,3.6363636363636362,3.6363636363636362,7.2727272727272725,0,1.0,0.31958138730323477,0.31958138730323477,12.203569005507083,12.203569005507083,6.111111111111111,6.111111111111111,15.793650793650793,15.793650793650793,0.6349206349206349,0.6349206349206349,1.4682539682539684,,,,,,0,2025-11-14,5.0,0
2026,401827733,2025-11-28,Davidson Wildcats,away,74,90,0,North Carolina A&T Aggies,A. Doumbia,5239652,F,True,22.0,5,4,1,0,2,2,2,2,2,2,0,0,1,1,0,4,4,200.0,47,30,10,65.2,111.61387631975866,135.7466063348416,66.30000000000001,104.44501031063255,106.23120853104467,66.984,,,1.0245901639344261,1.0,11.499611499611497,9.09090909090909,7.2727272727272725,1.8181818181818181,0.0,3.6363636363636362,3.6363636363636362,3.6363636363636362,3.6363636363636362,0.0,0.0,1.8181818181818181,1.8181818181818181,0.0,7.2727272727272725,0,1.0,0.4007685147042302,0.4007685147042302,11.476920775791308,11.476920775791308,6.8560606060606055,6.8560606060606055,14.572510822510822,14.572510822510822,0.47619047619047616,0.47619047619047616,1.1011904761904763,,,,,,0,2025-11-19,9.0,0
2026,401820801,2025-12-03,Charlotte 49ers,away,57,74,0,North Carolina A&T Aggies,A. Doumbia,5239652,F,True,22.0,4,5,0,2,0,1,1,4,1,4,0,0,2,2,2,3,5,200.0,47,29,11,64.76,90.39010466222645,117.34855692990803,63.06,116.36901343446854,109.77114752586576,64.90400000000001,,,0.4098360655737705,0.25,15.108690066293235,7.2727272727272725,9.09090909090909,0.0,3.6363636363636362,0.0,1.8181818181818181,1.8181818181818181,7.2727272727272725,0.0,0.0,3.6363636363636362,3.6363636363636362,3.6363636363636362,5.454545454545454,0,1.0,0.5255328445502694,0.5255328445502694,11.481458920555346,11.481458920555346,7.303030303030303,7.303030303030303,13.112554112554113,13.112554112554113,0.7445887445887445,0.7445887445887445,1.6082251082251084,,,,,,1,2025-11-28,5.0,0
2026,401827528,2025-12-06,North Carolina Central Eagles,away,69,54,1,North Carolina A&T Aggies,A. Doumbia,5239652,F,True,8.0,2,6,0,0,1,0,0,2,0,2,0,0,2,4,2,4,4,200.0,47,35,18,69.4,97.45762711864406,76.27118644067795,70.80000000000001,95.42900524056992,107.46258045892037,75.50399999999999,,,0.26595744680851063,0.0,23.38308457711442,10.0,30.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,10.0,20.0,10.0,20.0,1,1.0,0.5221342040064869,0.5062500480541862,10.159168792066467,12.085997444844994,6.090909090909091,7.297979797979797,11.121212121212121,12.442279942279944,0.36363636363636365,0.6204906204906204,1.6432178932178931,,,,,,1,2025-12-03,3.0,0
